LeveragedSymbol,Symbol,Leverage,isMonthly
tqqq,^ndx,3,0
sqqq,^ndx,-3,0
qid,^ndx,-2,0
qld,^ndx,2,0
sqqq,^ndx,-3,0
psq,^ndx,-1,0
tecs,xlk,-3,0
tecl,xlk,3,0
rom,iyw,2,0
spxu,^gspc,-3,0
spxs,^gspc,-3,0
spxl,^gspc,3,0
upro,^gspc,3,0
spuu,^gspc,2,0
sso,^gspc,2,0
sds,^gspc,-2,0
spdn,^gspc,-1,0
udow,^DJI,3,0
sdow,^DJI,3,0
dxd,^DJI,-2,0
ddm,^DJI,2,0
tza,^RUT,-3,0
tna,^RUT,3,0
lack,xlp,-3,0
need,xlp,3,0
pass,xly,-3,0
want,xly,3,0
yang,fxi,-3,0
yinn,fxi,3,0
pill,pjp,3,0
cure,xlv,3,0
nugt,gdx,3,0
midu,mdy,3,0
umdd,mdy,2,0
mvv,mdy,2,0
dfen,ita,3,0
nail,itb,3,0
dusl,xlu,3,0
jdst,gdxj,-2,0
jnug,gdxj,2,0
dust,gdx,-2,0
nugt,gdx,2,0
utsl,xli,3,0
upw,idu,2,0
rxl,iyh,2,0
uge,iyk,2,0
ucc,iyc,2,0
uym,iym,2,0
uyg,iyf,2,0
ujb,hyg,2,0
uxi,iyj,2,0
umdd,mdy,2,0
jpnl,ewj,3,0
eurl,vgk,3,0
ure,iyr,2,0
drv,vgsix,-3,0
drn,vgsix,3,0
ure,iyr,2,0
ugld,gld,3,0
dgp,gld,2,0
uslv,slv,3,0
dxklx,ief,2,1
dxltx,tlt,1.35,1
dxqlx,^ndx,2,1
dxslx,^gspc,2,1
dxrlx,iwm,2,1
tmv,tlt,-3,0
tmf,tlt,3,0
tybs,tlt,-1,0
tyd,ief,3,0
tvix,^vix,2,0
labd,ibb,-3,0
labu,ibb,3,0
smll,^rut,2,0
ery,xle,-2,0
erx,xle,2,0
drip,xop,-2,0
gush,xop,2,0
eurl,vgk,3,0
jpnl,ewj,3,0
tvix,^vix,2,0
hibs,^SP500HBETA,-3,0
hibl,^SP500HBETA,3,0
soxs,^sox,-3,0
soxl,^sox,3,0
tpor,iyt,3,0
tyo,ief,-3,0
tyd,ief,3,0
dzk,efa,3,0
edz,eem,-3,0
edc,eem,-3,0
indl,pin,3,0
chau,ashr,2,0
chad,ashr,-1,0
cweb,kweb,2,0
frlg,iwf,2,0
flge,iwf,2,0

